1,	1.7,	1.7,	1.8,	1.7	
2,	1.0,	0.75,	0.8,	0.85
4,	0.5,	0.35,	0.3,	0.37
8,	0.3,	0.1,	0.09,	0.15
16,	0.1,	0.02,	-0.1,	0.05
