Målestav [cm],      Mål a = R,
12.9,               -02.65
14.9,               -03.58
16.9,               -04.92
18.9,               -07.12
20.9,               -10.45
22.9,               -15.61
24.9,               -23.20
26.9,               -32.14
28.9,               -39.15
30.9,               -41.52
32.9,               -41.62
34.9,               -41.38
36.9,               -38.18
38.9,               -30.62
40.9,               -21.47
42.9,               -14.47
44.9,               -09.62
46.9,               -06.59
48.9,               -04.64
50.9,               -03.31
52.9,               -02.46
